compound_name,pubchem_cid,smiles,family,source,is_mida
CID_16,16,O=C1CCCCCNC(=O)CCCCCN1,Triazines,classification_hnid_4400160,False
CID_17,17,O=C(O)C1=NC(C(=O)O)CC=C1,Triazines,classification_hnid_4400160,False
CID_19,19,O=C(O)c1cccc(O)c1O,Triazines,classification_hnid_4400160,False
CID_20,20,O=C(O)CCc1cccc(O)c1O,Triazines,classification_hnid_4400160,False
CID_22,22,CC(=O)C(C)(O)C(=O)O,Triazines,classification_hnid_4400160,False
CID_30,30,NC(=CC=CC=O)C(=O)O,Triazines,classification_hnid_4400160,False
CID_32,32,O=C(O)C=CC=C(C(=O)O)C(=O)O,Triazines,classification_hnid_4400160,False
CID_36,36,CC(C)C(C(=O)O)C(O)C(=O)O,Triazines,classification_hnid_4400160,False
CID_38,38,CC(C)(CO)C(=O)C(=O)O,Triazines,classification_hnid_4400160,False
CID_39,39,CC1(C)COC(=O)C1=O,Triazines,classification_hnid_4400160,False
CID_40,40,OCC1OC(O)CC(O)C1O,Triazines,classification_hnid_4400160,False
CID_43,43,O=C(O)CCC(O)C(=O)O,Triazines,classification_hnid_4400160,False
CID_45,45,O=C(O)C(O)C(=O)O,Triazines,classification_hnid_4400160,False
CID_49,49,CC(C)C(=O)C(=O)O,Triazines,classification_hnid_4400160,False
CID_51,51,O=C(O)CCC(=O)C(=O)O,Triazines,classification_hnid_4400160,False
CID_58,58,CCC(=O)C(=O)O,Triazines,classification_hnid_4400160,False
CID_61,61,O=C(O)C(COP(=O)(O)O)OP(=O)(O)O,Triazines,classification_hnid_4400160,False
CID_63,63,CC(N)CC(N)C(=O)O,Triazines,classification_hnid_4400160,False
CID_67,67,O=C(O)C(=O)C(O)C(O)C(=O)CO,Triazines,classification_hnid_4400160,False
CID_71,71,O=C(O)CCCC(=O)C(=O)O,Triazines,classification_hnid_4400160,False
CID_72,72,O=C(O)c1ccc(O)c(O)c1,Triazines,classification_hnid_4400160,False
CID_85,85,C[N+](C)(C)CC(O)CC(=O)O,Triazines,classification_hnid_4400160,False
CID_86,86,Nc1c(O)cccc1C(=O)O,Triazines,classification_hnid_4400160,False
CID_87,87,CC(CO)C(=O)O,Triazines,classification_hnid_4400160,False
CID_102,102,OCc1cccc(O)c1,Triazines,classification_hnid_4400160,False
CID_111,111,NC(=O)NCCC(=O)O,Triazines,classification_hnid_4400160,False
CID_118,118,NCCCC=O,Triazines,classification_hnid_4400160,False
CID_126,126,O=Cc1ccc(O)cc1,Triazines,classification_hnid_4400160,False
CID_127,127,O=C(O)Cc1ccc(O)cc1,Triazines,classification_hnid_4400160,False
CID_133,133,C[N+](C)(C)CCCC=O,Triazines,classification_hnid_4400160,False
CID_135,135,O=C(O)c1ccc(O)cc1,Triazines,classification_hnid_4400160,False
CID_138,138,NCCCCC(=O)O,Triazines,classification_hnid_4400160,False
CID_167,167,c1ncc2c(n1)=NCCN=2,Triazines,classification_hnid_4400160,False
CID_179,179,CC(=O)C(C)O,Triazines,classification_hnid_4400160,False
CID_180,180,CC(C)=O,Triazines,classification_hnid_4400160,False
CID_191,191,Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O,Triazines,classification_hnid_4400160,False
CID_199,199,NCCCCN=C(N)N,Triazines,classification_hnid_4400160,False
CID_206,206,OCC1OC(O)C(O)C(O)C1O,Triazines,classification_hnid_4400160,False
