compound_name,pubchem_cid,smiles,family,chembl_id,match_method,match_status,n_candidates,chembl_pref_name
CID_127,127,O=C(O)Cc1ccc(O)cc1,Triazines,CHEMBL1772,sqlite_smiles,ok,1,
CID_133,133,C[N+](C)(C)CCCC=O,Triazines,,,not_found,0,
CID_135,135,O=C(O)c1ccc(O)cc1,Triazines,CHEMBL441343,sqlite_smiles,ok,1,PARABEN
CID_138,138,NCCCCC(=O)O,Triazines,CHEMBL284116,sqlite_smiles,ok,1,5-AMINOVALERIC ACID
CID_167,167,c1ncc2c(n1)=NCCN=2,Triazines,,,not_found,0,
CID_179,179,CC(=O)C(C)O,Triazines,CHEMBL3561873,sqlite_smiles,ok,1,
CID_180,180,CC(C)=O,Triazines,CHEMBL14253,sqlite_smiles,ok,1,ACETONE
CID_191,191,Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O,Triazines,CHEMBL11909,sqlite_smiles,ok,1,
CID_199,199,NCCCCN=C(N)N,Triazines,CHEMBL58343,sqlite_smiles,ok,1,AGMATINE
CID_206,206,OCC1OC(O)C(O)C(O)C1O,Triazines,,,not_found,0,
CID_207,207,NC(CCCC=O)C(=O)O,Triazines,,,not_found,0,
CID_208,208,O=P(O)(O)OCC1OC(O)C(O)C(O)C1O,Triazines,,,not_found,0,
CID_66,66,Oc1cc(Cl)ccc1Cl,Azole_fungicides,CHEMBL1565192,sqlite_smiles,ok,1,
CID_144,144,NC(Cc1c[nH]c2ccc(O)cc12)C(=O)O,Azole_fungicides,CHEMBL162789,sqlite_smiles,ok,1,
CID_178,178,CC(N)=O,Azole_fungicides,CHEMBL16081,sqlite_smiles,ok,1,ACETAMIDE
CID_196,196,O=C(O)CCCCC(=O)O,Azole_fungicides,CHEMBL1157,sqlite_smiles,ok,1,ADIPIC ACID
CID_198,198,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OC2OC(CO)C(O)C(O)C2O)C(O)C1O,Azole_fungicides,,,not_found,0,
CID_241,241,c1ccccc1,Azole_fungicides,CHEMBL277500,sqlite_smiles,ok,1,BENZENE
CID_253,253,O=C(O)CCCCC1SCC2NC(=O)NC21,Azole_fungicides,CHEMBL1527083,sqlite_smiles,ok,1,
