name,CID,SMILES,formula,source,family,SMILES_canonical
,40,C1C(C(C(OC1O)CO)O)O,,classification_hnid_4400160,Triazines,OCC1OC(O)CC(O)C1O
,43,C(CC(=O)O)C(C(=O)O)O,,classification_hnid_4400160,Triazines,O=C(O)CCC(O)C(=O)O
,45,C(C(=O)O)(C(=O)O)O,,classification_hnid_4400160,Triazines,O=C(O)C(O)C(=O)O
,49,CC(C)C(=O)C(=O)O,,classification_hnid_4400160,Triazines,CC(C)C(=O)C(=O)O
,51,C(CC(=O)O)C(=O)C(=O)O,,classification_hnid_4400160,Triazines,O=C(O)CCC(=O)C(=O)O
,58,CCC(=O)C(=O)O,,classification_hnid_4400160,Triazines,CCC(=O)C(=O)O
,61,C(C(C(=O)O)OP(=O)(O)O)OP(=O)(O)O,,classification_hnid_4400160,Triazines,O=C(O)C(COP(=O)(O)O)OP(=O)(O)O
,63,CC(CC(C(=O)O)N)N,,classification_hnid_4400160,Triazines,CC(N)CC(N)C(=O)O
,67,C(C(=O)C(C(C(=O)C(=O)O)O)O)O,,classification_hnid_4400160,Triazines,O=C(O)C(=O)C(O)C(O)C(=O)CO
,71,C(CC(=O)C(=O)O)CC(=O)O,,classification_hnid_4400160,Triazines,O=C(O)CCCC(=O)C(=O)O
,72,C1=CC(=C(C=C1C(=O)O)O)O,,classification_hnid_4400160,Triazines,O=C(O)c1ccc(O)c(O)c1
,85,C[N+](C)(C)CC(CC(=O)O)O,,classification_hnid_4400160,Triazines,C[N+](C)(C)CC(O)CC(=O)O
,86,C1=CC(=C(C(=C1)O)N)C(=O)O,,classification_hnid_4400160,Triazines,Nc1c(O)cccc1C(=O)O
,87,CC(CO)C(=O)O,,classification_hnid_4400160,Triazines,CC(CO)C(=O)O
,102,C1=CC(=CC(=C1)O)CO,,classification_hnid_4400160,Triazines,OCc1cccc(O)c1
,111,C(CNC(=O)N)C(=O)O,,classification_hnid_4400160,Triazines,NC(=O)NCCC(=O)O
,118,C(CC=O)CN,,classification_hnid_4400160,Triazines,NCCCC=O
,126,C1=CC(=CC=C1C=O)O,,classification_hnid_4400160,Triazines,O=Cc1ccc(O)cc1
,127,C1=CC(=CC=C1CC(=O)O)O,,classification_hnid_4400160,Triazines,O=C(O)Cc1ccc(O)cc1
,133,C[N+](C)(C)CCCC=O,,classification_hnid_4400160,Triazines,C[N+](C)(C)CCCC=O
,135,C1=CC(=CC=C1C(=O)O)O,,classification_hnid_4400160,Triazines,O=C(O)c1ccc(O)cc1
,138,C(CCN)CC(=O)O,,classification_hnid_4400160,Triazines,NCCCCC(=O)O
,167,C1CN=C2C(=N1)C=NC=N2,,classification_hnid_4400160,Triazines,c1ncc2c(n1)=NCCN=2
,179,CC(C(=O)C)O,,classification_hnid_4400160,Triazines,CC(=O)C(C)O
,180,CC(=O)C,,classification_hnid_4400160,Triazines,CC(C)=O
,191,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)O)N,,classification_hnid_4400160,Triazines,Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O
,199,C(CCN=C(N)N)CN,,classification_hnid_4400160,Triazines,NCCCCN=C(N)N
,206,C(C1C(C(C(C(O1)O)O)O)O)O,,classification_hnid_4400160,Triazines,OCC1OC(O)C(O)C(O)C1O
,207,C(CC=O)CC(C(=O)O)N,,classification_hnid_4400160,Triazines,NC(CCCC=O)C(=O)O
,208,C(C1C(C(C(C(O1)O)O)O)O)OP(=O)(O)O,,classification_hnid_4400160,Triazines,O=P(O)(O)OCC1OC(O)C(O)C(O)C1O
,66,C1=CC(=C(C=C1Cl)O)Cl,,classification_hnid_4400154,Azole_fungicides,Oc1cc(Cl)ccc1Cl
,144,C1=CC2=C(C=C1O)C(=CN2)CC(C(=O)O)N,,classification_hnid_4400154,Azole_fungicides,NC(Cc1c[nH]c2ccc(O)cc12)C(=O)O
,178,CC(=O)N,,classification_hnid_4400154,Azole_fungicides,CC(N)=O
,196,C(CCC(=O)O)CC(=O)O,,classification_hnid_4400154,Azole_fungicides,O=C(O)CCCCC(=O)O
,198,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OC4C(C(C(C(O4)CO)O)O)O)O)O)N,,classification_hnid_4400154,Azole_fungicides,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OC2OC(CO)C(O)C(O)C2O)C(O)C1O
,241,C1=CC=CC=C1,,classification_hnid_4400154,Azole_fungicides,c1ccccc1
,253,C1C2C(C(S1)CCCCC(=O)O)NC(=O)N2,,classification_hnid_4400154,Azole_fungicides,O=C(O)CCCCC1SCC2NC(=O)NC21
,262,CC(C(C)O)O,,classification_hnid_4400154,Azole_fungicides,CC(O)C(C)O
,263,CCCCO,,classification_hnid_4400154,Azole_fungicides,CCCCO
,281,[C-]#[O+],,classification_hnid_4400154,Azole_fungicides,[C-]#[O+]
,288,C[N+](C)(C)CC(CC(=O)[O-])O,,classification_hnid_4400154,Azole_fungicides,C[N+](C)(C)CC(O)CC(=O)[O-]
