chembl_id,compound_name,family,smiles,n_activities_total,n_censored,mw_freebase,alogp,psa,hba,hbd,aromatic_rings,rtb,num_ro5_violations,heavy_atoms,pchembl_median_binding,pchembl_std_binding,pchembl_iqr_binding,n_activities_binding,target_inestable,reliability_tier,pct_active,pct_active_note,mixed_endpoint_class,endpoint_types_seen,has_quantitative_potency,cluster
CHEMBL1200468,Malathion,mixed,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,81,55,330.36,2.12,71.06,8,0,0,9,0,19,5.265,0.4885481406312847,0.5124999999999993,15,False,alto,0.1333333333333333,derivado de pchembl >= 6 (no independiente),True,AC50|EC50|IC50|Inhibition|LC50|LD50|Potency,True,0
CHEMBL1200739,CID_402,Carbamates,S,24,0,34.08,0.11,0.0,0,0,0,0,0,1,4.89,1.2871840403078296,0.0,24,True,alto,0.0833333333333333,derivado de pchembl >= 6 (no independiente),False,Ki,True,1
CHEMBL1200921,CID_727,Pyrethroids,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,9,5,290.83,3.64,0.0,0,0,0,0,0,12,5.095000000000001,0.9909086738948246,1.5299999999999994,4,False,medio,0.25,derivado de pchembl >= 6 (no independiente),False,Potency,True,1
CHEMBL1222498,CID_4933,Herbicides,CCC(=O)Nc1ccc(Cl)c(Cl)c1,25,10,218.08,3.34,29.1,1,1,1,2,0,13,6.7,0.9670056876771717,1.745,11,False,alto,0.0,derivado de pchembl >= 6 (no independiente),False,EC50|IC50|Inhibition|Potency,True,1
CHEMBL1231178,CID_255,Organophosphates,O=[N+]([O-])c1ccc(OP(=O)(O)Oc2ccc([N+](=O)[O-])cc2)cc1,15,3,340.18,3.06,142.04,7,1,2,6,0,23,5.635,0.7128501645807884,1.34,8,False,medio,0.375,derivado de pchembl >= 6 (no independiente),False,IC50|Inhibition,True,0
CHEMBL1231461,CID_260,Pyrethroids,Br,29,0,80.91,0.58,0.0,0,0,0,0,0,1,4.75,0.9814585255824232,0.0,29,False,alto,0.0,derivado de pchembl >= 6 (no independiente),False,Ki,True,1
CHEMBL1231821,CID_313,Organophosphates,Cl,27,1,36.46,0.42,0.0,0,0,0,0,0,1,5.52,0.3910884220303048,0.0,26,False,alto,0.0384615384615384,derivado de pchembl >= 6 (no independiente),False,Ki,True,1
CHEMBL1233,CID_2576,Herbicides,CCCC(C)(COC(N)=O)COC(=O)NC(C)C,156,126,260.33,2.02,90.65,4,2,0,7,0,18,5.050000000000001,1.1073511255024375,1.3275000000000006,12,True,alto,0.4166666666666667,derivado de pchembl >= 6 (no independiente),False,AC50|Inhibition|Potency,True,0
CHEMBL1255,CID_712,Pyrethroids,C=O,6,0,30.03,-0.18,17.07,1,0,0,0,0,2,4.75,0.6327848502189878,0.0,6,False,medio,0.1666666666666666,derivado de pchembl >= 6 (no independiente),False,IC50,True,1
CHEMBL1261,CID_311,Azole_fungicides,O=C(O)CC(O)(CC(=O)O)C(=O)O,79,45,192.12,-1.25,132.13,4,4,0,5,0,13,5.0,0.3775385869224291,0.5499999999999998,26,False,alto,0.0,derivado de pchembl >= 6 (no independiente),True,EC50|IC50|Inhibition|Kd|Ki|LC50|Potency,True,0
CHEMBL13766,CID_460,Carbamates,COc1ccccc1O,54,19,124.14,1.4,29.46,2,1,1,1,0,9,4.89,0.8049748808649433,0.4100000000000001,17,False,alto,0.1176470588235294,derivado de pchembl >= 6 (no independiente),True,EC50|IC50|Inhibition|Ki|MIC|Potency,True,1
CHEMBL13958,Paraquat,mixed,C[n+]1ccc(-c2cc[n+](C)cc2)cc1,5,1,231.3,1.19,36.86,4,1,1,1,0,17,7.47,0.4047530111067738,0.4725000000000001,4,False,medio,1.0,derivado de pchembl >= 6 (no independiente),False,Ki,True,1
