compuesto,cid,familia,smiles,tarea_critica,prob_max,alerta,NR-AR,NR-AR-LBD,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-AtAD5,SR-HSE,SR-MMP,SR-p53
CID_38,38,Triazines,CC(C)(CO)C(=O)C(=O)O,NR-ER,0.3001,BAJO,0.033,0.0176,0.0062,0.0009,0.3001,0.0377,0.0001,0.1164,0.0001,0.0027,0.011,0.0006
CID_39,39,Triazines,CC1(C)COC(=O)C1=O,NR-ER,0.1993,BAJO,0.011,0.0008,0.001,0.0,0.1993,0.0012,0.0,0.0436,0.0,0.0007,0.0005,0.0
CID_40,40,Triazines,OCC1OC(O)CC(O)C1O,NR-ER,0.2193,BAJO,0.1501,0.0239,0.0065,0.0045,0.2193,0.0254,0.0092,0.0604,0.0011,0.0063,0.0108,0.0023
CID_43,43,Triazines,O=C(O)CCC(O)C(=O)O,NR-ER,0.3022,BAJO,0.0669,0.0457,0.0379,0.0033,0.3022,0.082,0.0012,0.2788,0.0009,0.0053,0.0308,0.0014
CID_45,45,Triazines,O=C(O)C(O)C(=O)O,NR-ER,0.3216,BAJO,0.1195,0.0405,0.0143,0.0007,0.3216,0.0512,0.0002,0.2667,0.0003,0.0018,0.0079,0.0005
CID_49,49,Triazines,CC(C)C(=O)C(=O)O,NR-ER,0.2605,BAJO,0.0351,0.0063,0.0152,0.0007,0.2605,0.0113,0.0002,0.1118,0.0002,0.0042,0.0057,0.0002
CID_51,51,Triazines,O=C(O)CCC(=O)C(=O)O,SR-ARE,0.2883,BAJO,0.006,0.0035,0.0134,0.0016,0.2168,0.0205,0.0003,0.2883,0.0004,0.0034,0.0108,0.0008
CID_58,58,Triazines,CCC(=O)C(=O)O,NR-ER,0.2222,BAJO,0.0191,0.0019,0.0042,0.0002,0.2222,0.0043,0.0001,0.0807,0.0,0.001,0.0016,0.0
CID_61,61,Triazines,O=C(O)C(COP(=O)(O)O)OP(=O)(O)O,NR-ER,0.1694,BAJO,0.0222,0.0104,0.0189,0.0005,0.1694,0.0303,0.0012,0.1553,0.0012,0.0064,0.0086,0.0021
CID_63,63,Triazines,CC(N)CC(N)C(=O)O,NR-ER,0.2424,BAJO,0.0553,0.0151,0.1537,0.0024,0.2424,0.0153,0.0002,0.0728,0.0002,0.0044,0.0135,0.0001
