compound_name,pubchem_cid,smiles,family,source,is_mida,chembl_id,match_method,match_status,n_candidates,chembl_pref_name
CID_253,253,O=C(O)CCCCC1SCC2NC(=O)NC21,Azole_fungicides,classification_hnid_4400154,False,CHEMBL1527083,sqlite_smiles,ok,1,
CID_262,262,CC(O)C(C)O,Azole_fungicides,classification_hnid_4400154,False,CHEMBL2312529,sqlite_smiles,ok,1,
CID_263,263,CCCCO,Azole_fungicides,classification_hnid_4400154,False,CHEMBL14245,sqlite_smiles,ok,1,BUTYL ALCOHOL
CID_281,281,[C-]#[O+],Azole_fungicides,classification_hnid_4400154,False,CHEMBL1231840,sqlite_smiles,ok,1,CARBON MONOXIDE
CID_288,288,C[N+](C)(C)CC(O)CC(=O)[O-],Azole_fungicides,classification_hnid_4400154,False,CHEMBL172513,sqlite_smiles,ok,1,CARNITINE
CID_294,294,OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O,Azole_fungicides,classification_hnid_4400154,False,,,not_found,0,
CID_300,300,O=C(O)CCl,Azole_fungicides,classification_hnid_4400154,False,CHEMBL14090,sqlite_smiles,ok,1,CHLOROACETIC ACID
CID_303,303,CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C,Azole_fungicides,classification_hnid_4400154,False,,,not_found,0,
CID_305,305,C[N+](C)(C)CCO,Azole_fungicides,classification_hnid_4400154,False,CHEMBL920,sqlite_smiles,ok,1,CHOLINE
CID_311,311,O=C(O)CC(O)(CC(=O)O)C(=O)O,Azole_fungicides,classification_hnid_4400154,False,CHEMBL1261,sqlite_smiles,ok,1,CITRIC ACID
CID_312,312,[Cl-],Azole_fungicides,classification_hnid_4400154,False,,,not_found,0,
CID_356,356,CCCCCCCC,Azole_fungicides,classification_hnid_4400154,False,CHEMBL134886,sqlite_smiles,ok,1,OCTANE
CID_359,359,Oc1cc(O)cc(O)c1,Azole_fungicides,classification_hnid_4400154,False,CHEMBL473159,sqlite_smiles,ok,1,PHLOROGLUCINOL
CID_370,370,O=C(O)c1cc(O)c(O)c(O)c1,Azole_fungicides,classification_hnid_4400154,False,CHEMBL288114,sqlite_smiles,ok,1,GALLIC ACID
CID_260,260,Br,Pyrethroids,classification_hnid_4500164,False,CHEMBL1231461,sqlite_smiles,ok,1,BROMIDE
CID_338,338,O=C(O)c1ccccc1O,Pyrethroids,classification_hnid_4500164,False,CHEMBL424,sqlite_smiles,ok,1,SALICYLIC ACID
CID_453,453,OCC(O)C(O)C(O)C(O)CO,Pyrethroids,classification_hnid_4500164,False,,,not_found,0,
CID_700,700,NCCO,Pyrethroids,classification_hnid_4500164,False,CHEMBL104943,sqlite_smiles,ok,1,MONOETHANOLAMINE
CID_702,702,CCO,Pyrethroids,classification_hnid_4500164,False,CHEMBL545,sqlite_smiles,ok,1,ALCOHOL
CID_712,712,C=O,Pyrethroids,classification_hnid_4500164,False,CHEMBL1255,sqlite_smiles,ok,1,FORMALDEHYDE
CID_727,727,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,Pyrethroids,classification_hnid_4500164,False,CHEMBL1200921,sqlite_smiles,ok,1,
CID_753,753,OCC(O)CO,Pyrethroids,classification_hnid_4500164,False,CHEMBL692,sqlite_smiles,ok,1,GLYCERIN
CID_756,756,O=CCO,Pyrethroids,classification_hnid_4500164,False,CHEMBL3884509,sqlite_smiles,ok,1,
CID_767,767,O=C(O)O,Pyrethroids,classification_hnid_4500164,False,CHEMBL1161632,sqlite_smiles,ok,1,BICARBONATE
CID_783,783,[HH],Pyrethroids,classification_hnid_4500164,False,,,not_found,0,
CID_784,784,OO,Pyrethroids,classification_hnid_4500164,False,CHEMBL71595,sqlite_smiles,ok,1,HYDROGEN PEROXIDE
CID_787,787,NO,Pyrethroids,classification_hnid_4500164,False,CHEMBL1191361,sqlite_smiles,ok,1,HYDROXYAMINE
CID_887,887,CO,Pyrethroids,classification_hnid_4500164,False,CHEMBL14688,sqlite_smiles,ok,1,METHYL ALCOHOL
CID_892,892,OC1C(O)C(O)C(O)C(O)C1O,Pyrethroids,classification_hnid_4500164,False,,,not_found,0,
CID_935,935,[Ni],Pyrethroids,classification_hnid_4500164,False,,,not_found,0,
CID_945,945,N=O,Pyrethroids,classification_hnid_4500164,False,CHEMBL1234765,sqlite_smiles,ok,1,HNO
CID_947,947,N#N,Pyrethroids,classification_hnid_4500164,False,CHEMBL142438,sqlite_smiles,ok,1,NITROGEN
CID_962,962,O,Pyrethroids,classification_hnid_4500164,False,CHEMBL1098659,sqlite_smiles,ok,1,WATER
CID_977,977,O=O,Pyrethroids,classification_hnid_4500164,False,CHEMBL1234886,sqlite_smiles,ok,1,OXYGEN
CID_992,992,Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,Pyrethroids,classification_hnid_4500164,False,CHEMBL75967,sqlite_smiles,ok,1,PENTACHLOROPHENOL
CID_996,996,Oc1ccccc1,Pyrethroids,classification_hnid_4500164,False,CHEMBL14060,sqlite_smiles,ok,1,PHENOL
CID_1004,1004,O=P(O)(O)O,Pyrethroids,classification_hnid_4500164,False,CHEMBL1187,sqlite_smiles,ok,1,PHOSPHORIC ACID
CID_1023,1023,O=P(O)(O)OP(=O)(O)O,Pyrethroids,classification_hnid_4500164,False,CHEMBL1160571,sqlite_smiles,ok,1,PYROPHOSPHORIC ACID
CID_1030,1030,CC(O)CO,Pyrethroids,classification_hnid_4500164,False,CHEMBL286398,sqlite_smiles,ok,1,PROPYLENE GLYCOL
CID_1031,1031,CCCO,Pyrethroids,classification_hnid_4500164,False,CHEMBL14687,sqlite_smiles,ok,1,PROPANOL
CID_1065,1065,C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,Pyrethroids,classification_hnid_4500164,False,CHEMBL15088,sqlite_smiles,ok,1,
CID_1070,1070,CC(C=CC=C(C)C=CC1=C(C)CCCC1(C)C)=CC=O,Pyrethroids,classification_hnid_4500164,False,,,not_found,0,
CID_1084,1084,O=S([O-])([O-])=S,Pyrethroids,classification_hnid_4500164,False,,,not_found,0,
